順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
19,中京・ダ1800, 27- 43- 23-112/205,13.2%,34.1%,45.4%,67,77,60.7,4.6着,3.1人気,7.9,511,172,0,0.0%,21.0%,11.2%,114.83,12.76,56.43
20,小倉・芝2000, 26- 11- 15- 64/116,22.4%,31.9%,44.8%,78,77,104.9,4.9着,3.3人気,7.9,352,173,0,0.0%,9.5%,12.9%,122.08,12.21,58.98
21,阪神・ダ1400, 25- 31- 23-100/179,14.0%,31.3%,44.1%,75,80,72.3,5.1着,3.4人気,8.1,544,183,0,0.0%,17.3%,12.8%,85.83,12.26,58.72
22,東京・芝2000, 25- 30- 22- 51/128,19.5%,43.0%,60.2%,76,92,86.8,4.1着,3.0人気,7.4,394,158,0,0.0%,23.4%,17.2%,120.84,12.08,59.59
23,中山・芝2000, 24- 21- 20- 90/155,15.5%,29.0%,41.9%,84,75,74.8,5.2着,3.2人気,8.1,548,185,0,0.0%,13.5%,12.9%,121.60,12.16,59.21
24,東京・芝1400, 24- 19- 16- 92/151,15.9%,28.5%,39.1%,85,73,80.1,5.3着,3.5人気,10.0,536,192,0,0.0%,12.6%,10.6%,82.05,11.72,61.42
25,京都・芝2000, 23- 30- 18- 74/145,15.9%,36.6%,49.0%,76,76,74.1,4.5着,3.1人気,8.0,479,160,0,0.0%,20.7%,12.4%,121.56,12.16,59.23
26,函館・ダ1700, 23- 19- 16- 46/104,22.1%,40.4%,55.8%,105,98,94.5,4.2着,2.9人気,6.5,477,179,0,0.0%,18.3%,15.4%,106.27,12.50,57.59
27,阪神・芝1600外, 23- 18- 13- 71/125,18.4%,32.8%,43.2%,81,77,85.7,4.5着,3.3人気,9.8,443,179,0,0.0%,14.4%,10.4%,94.39,11.80,61.02
28,新潟・芝1800外, 22- 15- 14- 46/ 97,22.7%,38.1%,52.6%,95,85,99.3,4.7着,2.8人気,6.7,420,163,0,0.0%,15.5%,14.4%,108.23,12.03,59.87
29,福島・芝1200, 21- 25- 21-106/173,12.1%,26.6%,38.7%,52,74,68.6,5.6着,4.3人気,12.9,435,194,0,0.0%,14.5%,12.1%,70.10,11.68,61.62
30,函館・芝1200, 21-  9- 18- 84/132,15.9%,22.7%,36.4%,64,63,81.2,5.3着,3.6人気,10.6,406,183,0,0.0%,6.8%,13.6%,69.54,11.59,62.13
31,京都・芝1600, 20- 21-  9- 55/105,19.0%,39.0%,47.6%,74,83,92.8,4.8着,3.3人気,7.9,393,175,0,0.0%,20.0%,8.6%,95.52,11.94,60.30
32,京都・芝1800外, 20- 19- 23- 53/115,17.4%,33.9%,53.9%,75,98,82.5,4.3着,3.2人気,6.7,434,188,0,0.0%,16.5%,20.0%,107.75,11.97,60.14
33,中京・芝1600, 20- 18- 14- 66/118,16.9%,32.2%,44.1%,92,76,75.7,4.8着,3.1人気,7.3,544,177,0,0.0%,15.3%,11.9%,95.01,11.88,60.62
34,東京・ダ2100, 19- 16- 14- 69/118,16.1%,29.7%,41.5%,61,72,80.3,5.3着,3.2人気,9.9,383,175,0,0.0%,13.6%,11.9%,132.85,12.65,56.91
35,中京・芝1400, 19- 13- 11- 55/ 98,19.4%,32.7%,43.9%,106,88,108.3,5.1着,4.0人気,11.0,548,211,0,0.0%,13.3%,11.2%,81.72,11.67,61.68
36,中京・ダ1400, 18- 23- 24- 78/143,12.6%,28.7%,45.5%,64,90,68.2,5.4着,3.5人気,9.1,510,199,0,0.0%,16.1%,16.8%,85.70,12.24,58.81
37,中山・芝1800, 18- 16- 15- 50/ 99,18.2%,34.3%,49.5%,102,93,93.2,5.1着,3.4人気,7.9,566,189,0,0.0%,16.2%,15.2%,109.04,12.12,59.43
38,福島・芝2000, 18- 14-  3- 47/ 82,22.0%,39.0%,42.7%,92,84,123.2,5.3着,3.7人気,8.9,420,197,0,0.0%,17.1%,3.7%,121.59,12.16,59.22
39,札幌・芝2000, 17- 10-  5- 35/ 67,25.4%,40.3%,47.8%,95,77,114.1,4.5着,3.1人気,8.8,375,163,0,0.0%,14.9%,7.5%,122.48,12.25,58.78
40,阪神・ダ1200, 16- 17- 23- 72/128,12.5%,25.8%,43.8%,63,83,65.0,5.1着,3.5人気,9.8,509,194,0,0.0%,13.3%,18.0%,73.06,12.18,59.13
41,京都・ダ1900, 16- 17- 15- 49/ 97,16.5%,34.0%,49.5%,56,87,72.8,4.6着,3.0人気,6.7,341,176,0,0.0%,17.5%,15.5%,120.90,12.73,56.58
42,福島・ダ1150, 16- 12- 12- 66/106,15.1%,26.4%,37.7%,78,69,85.0,5.7着,3.8人気,12.2,519,185,0,0.0%,11.3%,11.3%,69.59,12.10,59.49
43,札幌・芝1500, 16-  9- 10- 37/ 72,22.2%,34.7%,48.6%,87,79,94.1,4.4着,3.0人気,6.8,395,167,0,0.0%,12.5%,13.9%,89.96,11.99,60.03
44,函館・ダ1000, 16-  9-  8- 28/ 61,26.2%,41.0%,54.1%,100,94,118.9,4.3着,3.8人気,12.0,382,179,0,0.0%,14.8%,13.1%,59.67,11.93,60.33
45,中京・ダ1200, 15- 19-  8- 55/ 97,15.5%,35.1%,43.3%,71,88,79.1,5.1着,3.8人気,11.7,462,205,0,0.0%,19.6%,8.2%,72.89,12.15,59.27
46,阪神・芝1200, 15-  7-  9- 20/ 51,29.4%,43.1%,60.8%,161,111,140.7,4.2着,3.4人気,8.6,550,184,0,0.0%,13.7%,17.6%,68.92,11.49,62.69
47,東京・ダ1300, 15-  6-  9- 36/ 66,22.7%,31.8%,45.5%,147,91,117.4,4.8着,3.4人気,8.8,649,201,0,0.0%,9.1%,13.6%,79.36,12.21,58.97
48,東京・芝2400, 14- 17- 15- 46/ 92,15.2%,33.7%,50.0%,85,86,73.5,4.6着,3.2人気,8.4,562,178,0,0.0%,18.5%,16.3%,146.39,12.20,59.02
49,阪神・芝1800外, 14- 12- 11- 48/ 85,16.5%,30.6%,43.5%,78,78,83.2,4.9着,3.6人気,9.5,475,185,0,0.0%,14.1%,12.9%,107.07,11.90,60.52
50,阪神・芝2000, 13- 20- 21- 49/103,12.6%,32.0%,52.4%,50,83,55.4,4.1着,3.0人気,8.0,401,166,0,0.0%,19.4%,20.4%,121.17,12.12,59.42
51,小倉・芝1800, 13- 20- 13- 78/124,10.5%,26.6%,37.1%,42,65,52.2,5.6着,3.3人気,7.6,403,180,0,0.0%,16.1%,10.5%,109.60,12.18,59.13
52,中山・芝1200, 13- 13- 14- 62/102,12.7%,25.5%,39.2%,75,78,60.5,5.9着,3.6人気,8.3,593,200,0,0.0%,12.7%,13.7%,68.81,11.47,62.78
