順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
106,中山・ダ2500,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,80,46,152.8,5.0着,3.3人気,6.5,240,140,0,0.0%,0.0%,0.0%,164.53,13.16,54.70
107,中山・障4250芝,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,1220,720,1220.0,1.0着,2.0人気,12.2,1220,720,0,0.0%,0.0%,0.0%,287.20,13.52,53.27
108,中京・芝3000,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,340,160,340.0,1.0着,1.0人気,3.4,340,160,0,0.0%,0.0%,0.0%,190.20,12.68,56.78
109,阪神・芝2200,  0-  4-  2- 20/ 26,0.0%,15.4%,23.1%,0,51,0.0,6.2着,4.6人気,13.0,,223,0,0.0%,15.4%,7.7%,133.53,12.14,59.31
110,新潟・障2850芝,  0-  2-  1- 32/ 35,0.0%,5.7%,8.6%,0,45,0.0,7.4着,6.9人気,49.8,,527,0,0.0%,5.7%,2.9%,190.74,13.39,53.79
111,中京・障3300芝,  0-  2-  1-  2/  5,0.0%,40.0%,60.0%,0,148,0.0,3.4着,4.4人気,11.9,,247,0,0.0%,40.0%,20.0%,217.60,13.19,54.60
112,東京・障3110芝,  0-  2-  0-  7/  9,0.0%,22.2%,22.2%,0,46,0.0,7.0着,6.9人気,36.8,,210,0,0.0%,22.2%,0.0%,209.74,13.49,53.38
113,福島・障3380芝,  0-  2-  0-  5/  7,0.0%,28.6%,28.6%,0,87,0.0,5.4着,6.7人気,20.1,,305,0,0.0%,28.6%,0.0%,227.27,13.45,53.54
114,福島・障2770芝,  0-  1-  2-  9/ 12,0.0%,8.3%,25.0%,0,99,0.0,8.3着,7.6人気,42.5,,397,0,0.0%,8.3%,16.7%,188.06,13.58,53.03
115,阪神・芝3000,  0-  1-  2-  3/  6,0.0%,16.7%,50.0%,0,111,0.0,5.7着,4.8人気,11.1,,223,0,0.0%,16.7%,33.3%,186.33,12.42,57.96
116,阪神・障3110ダ,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,122,0.0,4.6着,4.4人気,9.7,,305,0,0.0%,20.0%,20.0%,211.13,13.58,53.03
117,新潟・障3250芝,  0-  1-  1-  6/  8,0.0%,12.5%,25.0%,0,155,0.0,5.9着,5.8人気,32.5,,620,0,0.0%,12.5%,12.5%,215.06,13.23,54.40
118,札幌・ダ2400,  0-  1-  1-  4/  6,0.0%,16.7%,33.3%,0,48,0.0,7.0着,3.8人気,10.3,,145,0,0.0%,16.7%,16.7%,159.40,13.28,54.20
119,東京・芝2300,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,245,0.0,2.5着,4.5人気,9.3,,245,0,0.0%,50.0%,50.0%,140.65,12.23,58.87
120,福島・ダ2400,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,88,0.0,8.2着,7.8人気,26.3,,440,0,0.0%,20.0%,0.0%,156.54,13.05,55.19
121,京都・障2910ダ,  0-  0-  1- 16/ 17,0.0%,0.0%,5.9%,0,11,0.0,7.9着,6.1人気,39.3,,190,0,0.0%,0.0%,5.9%,204.92,14.08,51.12
122,中山・障3350芝,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,95,0.0,5.0着,7.5人気,32.8,,380,0,0.0%,0.0%,25.0%,224.83,13.42,53.64
123,阪神・障3140芝,  0-  0-  1-  4/  5,0.0%,0.0%,20.0%,0,48,0.0,5.2着,7.2人気,46.4,,240,0,0.0%,0.0%,20.0%,212.98,13.57,53.08
124,新潟・障3290芝,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,60,0.0,8.0着,7.0人気,51.5,,180,0,0.0%,0.0%,33.3%,222.20,13.51,53.30
125,東京・障3000ダ,  0-  0-  0- 14/ 14,0.0%,0.0%,0.0%,0,0,0.0,8.9着,6.6人気,37.6,,,0,0.0%,0.0%,0.0%,210.25,14.02,51.37
126,東京・芝3400,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,6.3着,5.0人気,18.1,,,0,0.0%,0.0%,0.0%,212.97,12.53,57.47
127,中山・障4100芝,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,6.7着,5.0人気,39.3,,,0,0.0%,0.0%,0.0%,285.80,13.94,51.64
128,京都・芝3200外,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,5.3着,5.7人気,25.7,,,0,0.0%,0.0%,0.0%,194.63,12.16,59.19
129,中京・障3330芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0,0.0,7.0着,5.5人気,16.7,,,0,0.0%,0.0%,0.0%,221.30,13.29,54.17
130,東京・障3100ダ,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,10.0人気,104.0,,,0,0.0%,0.0%,0.0%,212.40,13.70,52.54
131,函館・芝1000,  0-  0-  0-  5/  5,0.0%,0.0%,0.0%,0,0,0.0,7.0着,6.2人気,22.5,,,0,0.0%,0.0%,0.0%,58.48,11.70,61.56
132,中山・障3570芝,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,8.3着,7.7人気,24.9,,,0,0.0%,0.0%,0.0%,242.50,13.59,53.00
133,新潟・ダ2500,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,8.0着,6.0人気,12.7,,,0,0.0%,0.0%,0.0%,164.70,13.18,54.64
134,中山・障4260芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0,0.0,8.0着,6.5人気,67.7,,,0,0.0%,0.0%,0.0%,298.80,14.03,51.33
