順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
30,新潟・芝1000, 17-  3- 10- 41/ 71,23.9%,28.2%,42.3%,163,106,165.6,6.3着,5.4人気,19.5,684,251,0,0.0%,4.2%,14.1%,56.03,11.21,64.25
31,阪神・ダ1400, 16- 25- 27-110/178,9.0%,23.0%,38.2%,47,77,57.8,5.7着,4.4人気,13.5,526,202,0,0.0%,14.0%,15.2%,85.96,12.28,58.64
32,中京・芝2000, 16- 17- 16- 91/140,11.4%,23.6%,35.0%,71,72,74.2,5.6着,4.5人気,20.2,624,232,0,0.0%,12.1%,11.4%,121.95,12.19,59.04
33,福島・ダ1150, 16- 10- 12- 72/110,14.5%,23.6%,34.5%,88,71,92.1,5.9着,4.6人気,15.4,610,206,0,0.0%,9.1%,10.9%,69.57,12.10,59.51
34,札幌・芝1200, 16-  4- 12- 42/ 74,21.6%,27.0%,43.2%,103,85,122.0,5.2着,3.9人気,11.2,479,211,0,0.0%,5.4%,16.2%,69.76,11.63,61.92
35,中京・芝1400, 15- 14- 10- 56/ 95,15.8%,30.5%,41.1%,85,86,88.0,5.4着,4.2人気,11.2,539,209,0,0.0%,14.7%,10.5%,81.68,11.67,61.70
36,阪神・芝1800外, 15- 14-  9- 44/ 82,18.3%,35.4%,46.3%,253,95,107.0,4.6着,4.1人気,18.6,1383,223,0,0.0%,17.1%,11.0%,106.95,11.88,60.59
37,中京・ダ1400, 14- 20- 15- 92/141,9.9%,24.1%,34.8%,68,69,69.7,5.9着,5.0人気,15.5,689,200,0,0.0%,14.2%,10.6%,85.72,12.25,58.80
38,中山・芝1200, 14-  5-  9- 71/ 99,14.1%,19.2%,28.3%,120,79,100.2,6.2着,4.8人気,18.8,851,282,0,0.0%,5.1%,9.1%,68.98,11.50,62.63
39,小倉・芝2000, 13- 17- 10- 77/117,11.1%,25.6%,34.2%,60,72,72.8,5.7着,5.1人気,18.6,545,216,0,0.0%,14.5%,8.5%,122.23,12.22,58.91
40,京都・芝1600, 13- 14- 12- 58/ 97,13.4%,27.8%,40.2%,95,78,83.4,5.5着,4.5人気,18.6,716,205,0,0.0%,14.4%,12.4%,95.63,11.95,60.23
41,京都・ダ1900, 13- 14-  9- 63/ 99,13.1%,27.3%,36.4%,80,87,80.9,5.1着,4.5人気,18.4,609,241,0,0.0%,14.1%,9.1%,121.02,12.74,56.52
42,福島・芝2000, 13- 13-  8- 55/ 89,14.6%,29.2%,38.2%,68,83,101.0,5.7着,4.9人気,15.4,470,218,0,0.0%,14.6%,9.0%,121.70,12.17,59.16
43,阪神・芝2000, 13- 12- 13- 67/105,12.4%,23.8%,36.2%,75,69,79.0,4.7着,4.5人気,21.2,609,204,0,0.0%,11.4%,12.4%,121.44,12.14,59.29
44,阪神・芝1400, 13-  4-  5- 44/ 66,19.7%,25.8%,33.3%,187,78,140.9,6.2着,5.0人気,14.1,953,235,0,0.0%,6.1%,7.6%,81.61,11.66,61.76
45,京都・芝1800外, 12- 19- 20- 85/136,8.8%,22.8%,37.5%,40,68,56.4,5.4着,4.5人気,17.4,462,195,0,0.0%,14.0%,14.7%,107.96,12.00,60.02
46,新潟・芝1800外, 12- 12- 16- 66/106,11.3%,22.6%,37.7%,71,66,76.4,5.7着,4.4人気,18.3,632,180,0,0.0%,11.3%,15.1%,108.56,12.06,59.69
47,函館・ダ1700, 12- 11-  7- 79/109,11.0%,21.1%,27.5%,51,62,68.2,6.1着,4.5人気,13.4,467,234,0,0.0%,10.1%,6.4%,106.82,12.57,57.29
48,京都・芝1600外, 11-  9- 13- 53/ 86,12.8%,23.3%,38.4%,71,85,83.2,6.0着,4.8人気,17.8,563,222,0,0.0%,10.5%,15.1%,94.14,11.77,61.18
49,函館・ダ1000, 11-  9-  5- 40/ 65,16.9%,30.8%,38.5%,100,70,97.0,4.9着,4.2人気,16.3,595,191,0,0.0%,13.8%,7.7%,59.83,11.97,60.17
50,札幌・芝2000, 11-  3-  8- 42/ 64,17.2%,21.9%,34.4%,124,76,103.2,5.4着,4.2人気,15.5,724,222,0,0.0%,4.7%,12.5%,122.68,12.27,58.69
51,中京・芝1600, 10- 13- 11- 74/108,9.3%,21.3%,31.5%,61,77,70.3,5.8着,4.6人気,16.7,664,246,0,0.0%,12.0%,10.2%,95.24,11.90,60.48
52,東京・ダ2100, 10- 12- 13- 77/112,8.9%,19.6%,31.3%,55,73,65.1,6.3着,4.7人気,17.2,618,236,0,0.0%,10.7%,11.6%,133.17,12.68,56.77
53,福島・芝1800,  9-  9- 12- 69/ 99,9.1%,18.2%,30.3%,48,58,57.8,6.2着,4.8人気,15.7,532,195,0,0.0%,9.1%,12.1%,109.52,12.17,59.17
54,京都・芝2200外,  9-  7- 10- 23/ 49,18.4%,32.7%,53.1%,121,101,88.9,4.4着,4.2人気,14.3,661,199,0,0.0%,14.3%,20.4%,134.05,12.19,59.08
55,中京・ダ1200,  9-  6-  9- 71/ 95,9.5%,15.8%,25.3%,43,58,62.3,6.2着,4.8人気,15.8,454,232,0,0.0%,6.3%,9.5%,73.06,12.18,59.13
56,京都・芝1400外,  8- 14- 10- 50/ 82,9.8%,26.8%,39.0%,76,110,62.8,5.5着,4.6人気,11.9,786,284,0,0.0%,17.1%,12.2%,81.55,11.65,61.80
57,小倉・ダ1000,  8- 10-  9- 57/ 84,9.5%,21.4%,32.1%,38,71,65.6,5.6着,4.9人気,15.5,405,221,0,0.0%,11.9%,10.7%,59.18,11.84,60.83
58,京都・芝2400外,  8-  8-  2- 33/ 51,15.7%,31.4%,35.3%,68,63,94.0,5.0着,4.1人気,12.0,435,179,0,0.0%,15.7%,3.9%,146.45,12.20,58.99
59,札幌・芝1500,  8-  6-  8- 44/ 66,12.1%,21.2%,33.3%,84,82,74.8,5.3着,4.1人気,11.9,699,248,0,0.0%,9.1%,12.1%,90.36,12.05,59.76
60,札幌・ダ1000,  8-  5-  6- 33/ 52,15.4%,25.0%,36.5%,74,70,99.4,5.6着,4.3人気,13.5,481,192,0,0.0%,9.6%,11.5%,60.01,12.00,59.99
61,中山・芝2200,  8-  5-  3- 34/ 50,16.0%,26.0%,32.0%,91,78,117.7,5.5着,4.9人気,19.6,572,244,0,0.0%,10.0%,6.0%,134.39,12.22,58.93
62,札幌・芝1800,  7- 13- 10- 43/ 73,9.6%,27.4%,41.1%,33,76,56.4,4.7着,4.0人気,14.1,350,198,0,0.0%,17.8%,13.7%,110.24,12.25,58.78
63,新潟・芝1400,  7- 12- 13- 49/ 81,8.6%,23.5%,39.5%,124,172,62.0,5.9着,4.7人気,17.4,1446,451,0,0.0%,14.8%,16.0%,82.65,11.81,60.98
64,京都・芝1200,  7-  6- 10- 52/ 75,9.3%,17.3%,30.7%,48,67,59.7,6.7着,5.0人気,16.2,514,220,0,0.0%,8.0%,13.3%,69.15,11.52,62.47
65,中京・芝1200,  7-  6-  4- 36/ 53,13.2%,24.5%,32.1%,96,71,78.7,6.1着,5.0人気,17.8,733,224,0,0.0%,11.3%,7.5%,69.15,11.52,62.48
66,新潟・芝1600外,  6- 13- 10- 58/ 87,6.9%,21.8%,33.3%,99,87,58.1,5.6着,4.8人気,19.8,1440,272,0,0.0%,14.9%,11.5%,95.59,11.95,60.26
67,小倉・障2860芝,  6- 10-  9- 39/ 64,9.4%,25.0%,39.1%,47,81,71.5,5.2着,4.5人気,14.8,505,210,0,0.0%,15.6%,14.1%,194.86,13.63,52.84
68,東京・ダ1300,  6- 10-  9- 40/ 65,9.2%,24.6%,38.5%,27,98,52.7,6.2着,4.4人気,15.0,300,256,0,0.0%,15.4%,13.8%,79.71,12.26,58.71
69,中京・芝2200,  6-  4-  3- 34/ 47,12.8%,21.3%,27.7%,113,66,89.1,5.3着,4.7人気,20.4,887,241,0,0.0%,8.5%,6.4%,134.37,12.22,58.94
70,阪神・ダ2000,  6-  3-  4- 22/ 35,17.1%,25.7%,37.1%,142,74,94.6,4.9着,3.9人気,10.1,833,201,0,0.0%,8.6%,11.4%,127.47,12.75,56.48
71,中京・ダ1900,  5-  6-  5- 35/ 51,9.8%,21.6%,31.4%,51,62,64.1,5.6着,4.4人気,18.7,528,199,0,0.0%,11.8%,9.8%,121.70,12.81,56.20
72,小倉・芝2600,  5-  5-  6- 15/ 31,16.1%,32.3%,51.6%,69,125,93.6,4.4着,4.4人気,12.3,430,242,0,0.0%,16.1%,19.4%,161.20,12.40,58.07
73,阪神・障2970ダ,  5-  5-  2- 11/ 23,21.7%,43.5%,52.2%,233,143,195.3,4.2着,5.1人気,20.7,1072,274,0,0.0%,21.7%,8.7%,206.97,13.94,51.66
74,新潟・芝2000,  5-  4-  4- 31/ 44,11.4%,20.5%,29.5%,50,63,67.2,6.8着,4.4人気,15.7,440,216,0,0.0%,9.1%,9.1%,123.74,12.37,58.19
75,函館・芝2600,  5-  4-  2- 10/ 21,23.8%,42.9%,52.4%,125,119,145.8,4.0着,4.3人気,10.9,526,227,0,0.0%,19.0%,9.5%,162.22,12.48,57.70
